id,name,slug,generation,habitat,shape,color,capture_rate,base_happiness,gender_rate,is_baby,is_legendary,is_mythical,flavor_text_en,sourceUrl
1,bulbasaur,bulbasaur,generation-i,grassland,quadruped,green,45,70,1,False,False,False,A strange seed was planted on its back at birth.The plant sprouts and grows with this POKéMON.,https://pokeapi.co/api/v2/pokemon-species/1
2,ivysaur,ivysaur,generation-i,grassland,quadruped,green,45,70,1,False,False,False,"When the bulb on its back grows large, it appearsto lose the ability to stand on its hind legs.",https://pokeapi.co/api/v2/pokemon-species/2
3,venusaur,venusaur,generation-i,grassland,quadruped,green,45,70,1,False,False,False,The plant blooms when it is absorbing solarenergy. It stays on the move to seek sunlight.,https://pokeapi.co/api/v2/pokemon-species/3
4,charmander,charmander,generation-i,mountain,upright,red,45,70,1,False,False,False,"Obviously prefers hot places. When it rains, steamis said to spout from the tip of its tail.",https://pokeapi.co/api/v2/pokemon-species/4
5,charmeleon,charmeleon,generation-i,mountain,upright,red,45,70,1,False,False,False,"When it swings its burning tail, it elevates thetemperature to unbearably high levels.",https://pokeapi.co/api/v2/pokemon-species/5
6,charizard,charizard,generation-i,mountain,upright,red,45,70,1,False,False,False,Spits fire that is hot enough to melt boulders.Known to cause forest fires unintentionally.,https://pokeapi.co/api/v2/pokemon-species/6
7,squirtle,squirtle,generation-i,waters-edge,upright,blue,45,70,1,False,False,False,"After birth, its back swells and hardens into ashell. Powerfully sprays foam from its mouth.",https://pokeapi.co/api/v2/pokemon-species/7
8,wartortle,wartortle,generation-i,waters-edge,upright,blue,45,70,1,False,False,False,"Often hides in water to stalk unwary prey. Forswimming fast, it moves its ears to maintain balance.",https://pokeapi.co/api/v2/pokemon-species/8
9,blastoise,blastoise,generation-i,waters-edge,upright,blue,45,70,1,False,False,False,A brutal POKéMON with pressurized water jets on itsshell. They are used for high speed tackles.,https://pokeapi.co/api/v2/pokemon-species/9
10,caterpie,caterpie,generation-i,forest,armor,green,255,70,4,False,False,False,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,https://pokeapi.co/api/v2/pokemon-species/10
11,metapod,metapod,generation-i,forest,squiggle,green,120,70,4,False,False,False,"This POKéMON is vulnerable to attack while itsshell is soft, exposing its weak and tender body.",https://pokeapi.co/api/v2/pokemon-species/11
12,butterfree,butterfree,generation-i,forest,bug-wings,white,45,70,4,False,False,False,"In battle, it flaps its wings at high speed torelease highly toxic dust into the air.",https://pokeapi.co/api/v2/pokemon-species/12
13,weedle,weedle,generation-i,forest,armor,brown,255,70,4,False,False,False,"Often found in forests, eating leaves.It has a sharp venomous stinger on its head.",https://pokeapi.co/api/v2/pokemon-species/13
14,kakuna,kakuna,generation-i,forest,squiggle,yellow,120,70,4,False,False,False,"Almost incapable of moving, this POKéMON can onlyharden its shell to protect itself from predators.",https://pokeapi.co/api/v2/pokemon-species/14
15,beedrill,beedrill,generation-i,forest,bug-wings,yellow,45,70,4,False,False,False,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,https://pokeapi.co/api/v2/pokemon-species/15
16,pidgey,pidgey,generation-i,forest,wings,brown,255,70,4,False,False,False,A common sight in forests and woods. It flaps itswings at ground level to kick up blinding sand.,https://pokeapi.co/api/v2/pokemon-species/16
17,pidgeotto,pidgeotto,generation-i,forest,wings,brown,120,70,4,False,False,False,"Very protective of its sprawling territorial area,this POKéMON will fiercely peck at any intruder.",https://pokeapi.co/api/v2/pokemon-species/17
18,pidgeot,pidgeot,generation-i,forest,wings,brown,45,70,4,False,False,False,"When hunting, it skims the surface of water at highspeed to pick off unwary prey such as MAGIKARP.",https://pokeapi.co/api/v2/pokemon-species/18
19,rattata,rattata,generation-i,grassland,quadruped,purple,255,70,4,False,False,False,"Bites anything when it attacks. Small and veryquick, it is a common sight in many places.",https://pokeapi.co/api/v2/pokemon-species/19
20,raticate,raticate,generation-i,grassland,quadruped,brown,127,70,4,False,False,False,It uses its whis­ kers to maintain its balance.It apparently slows down if they are cut off.,https://pokeapi.co/api/v2/pokemon-species/20
