id,name,slug,type,power,accuracy,pp,priority,damage_class,target,generation,effect,short_effect,sourceUrl
743,max-guard,max_guard,normal,None,None,10,4,status,user,generation-viii,"No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

lock on, mind reader, and no guard provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move.

thunder during rain dance and blizzard during hail have a 30% chance to break through this move.

The following effects are not prevented by this move:

* acupressure from an ally
* curse’s curse effect
* Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn
* feint, which will also end this move’s protection after it hits
* imprison
* perish song
* shadow force
* Moves that merely copy the user, such as transform or psych up

This move cannot be selected by assist or metronome.",Prevents any moves from hitting the user this turn.,https://pokeapi.co/api/v2/move/743/
744,dynamax-cannon,dynamax_cannon,dragon,100,100,5,0,special,selected-pokemon,generation-viii,"Inflicts regular damage, then (if successful) sets light screen on the user’s side of the field.",Sets Light Screen on the user’s side of the field after inflicting damage.,https://pokeapi.co/api/v2/move/744/
745,snipe-shot,snipe_shot,water,80,100,15,0,special,selected-pokemon,generation-viii,"Inflicts regular damage, then (if successful) sets reflect on the user’s side of the field.",Sets Reflect on the user’s side of the field after inflicting damage.,https://pokeapi.co/api/v2/move/745/
746,jaw-lock,jaw_lock,dark,80,100,10,0,physical,selected-pokemon,generation-viii,"Inflicts regular damage, then (if successful) sets leech seed on the target.",Seeds the target after inflicting damage.,https://pokeapi.co/api/v2/move/746/
747,stuff-cheeks,stuff_cheeks,normal,None,None,10,0,status,user,generation-viii,"Inflicts regular damage, then (if successful) removes major status effects from every Pokémon in the user’s party.",Cures the entire party of major status effects after inflicting damage.,https://pokeapi.co/api/v2/move/747/
748,no-retreat,no_retreat,fighting,None,None,5,0,status,user,generation-viii,"Inflicts regular damage.  Hits twice in one turn, with a 100% chance to make the target flinch.","Hits twice in one turn, with a 100% chance to make the target flinch.",https://pokeapi.co/api/v2/move/748/
749,tar-shot,tar_shot,rock,None,100,15,0,status,selected-pokemon,generation-viii,,,https://pokeapi.co/api/v2/move/749/
750,magic-powder,magic_powder,psychic,None,100,20,0,status,selected-pokemon,generation-viii,,,https://pokeapi.co/api/v2/move/750/
751,dragon-darts,dragon_darts,dragon,50,100,10,0,physical,selected-pokemon,generation-viii,,,https://pokeapi.co/api/v2/move/751/
752,teatime,teatime,normal,None,None,10,0,status,all-pokemon,generation-viii,,,https://pokeapi.co/api/v2/move/752/
753,octolock,octolock,fighting,None,100,15,0,status,selected-pokemon,generation-viii,,,https://pokeapi.co/api/v2/move/753/
754,bolt-beak,bolt_beak,electric,85,100,10,0,physical,selected-pokemon,generation-viii,,,https://pokeapi.co/api/v2/move/754/
755,fishious-rend,fishious_rend,water,85,100,10,0,physical,selected-pokemon,generation-viii,,,https://pokeapi.co/api/v2/move/755/
756,court-change,court_change,normal,None,100,10,0,status,entire-field,generation-viii,,,https://pokeapi.co/api/v2/move/756/
757,max-flare,max_flare,fire,100,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/757/
758,max-flutterby,max_flutterby,bug,10,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/758/
759,max-lightning,max_lightning,electric,10,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/759/
760,max-strike,max_strike,normal,10,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/760/
761,max-knuckle,max_knuckle,fighting,10,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/761/
762,max-phantasm,max_phantasm,ghost,10,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/762/
763,max-hailstorm,max_hailstorm,ice,10,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/763/
764,max-ooze,max_ooze,poison,10,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/764/
765,max-geyser,max_geyser,water,10,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/765/
766,max-airstream,max_airstream,flying,10,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/766/
767,max-starfall,max_starfall,fairy,10,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/767/
768,max-wyrmwind,max_wyrmwind,dragon,10,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/768/
769,max-mindstorm,max_mindstorm,psychic,10,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/769/
770,max-rockfall,max_rockfall,rock,10,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/770/
771,max-quake,max_quake,ground,10,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/771/
772,max-darkness,max_darkness,dark,10,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/772/
773,max-overgrowth,max_overgrowth,grass,10,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/773/
774,max-steelspike,max_steelspike,steel,10,None,10,0,physical,selected-pokemon-me-first,generation-viii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/774/
775,clangorous-soul,clangorous_soul,dragon,None,100,5,0,status,user,generation-viii,,,https://pokeapi.co/api/v2/move/775/
776,body-press,body_press,fighting,80,100,10,0,physical,selected-pokemon,generation-viii,,,https://pokeapi.co/api/v2/move/776/
777,decorate,decorate,fairy,None,None,15,0,status,selected-pokemon,generation-viii,,,https://pokeapi.co/api/v2/move/777/
778,drum-beating,drum_beating,grass,80,100,10,0,physical,selected-pokemon,generation-viii,Inflicts regular damage.  Has a 100% chance to lower the target’s Speed by one stage.,Has a 100% chance to lower the target’s Speed by one stage.,https://pokeapi.co/api/v2/move/778/
779,snap-trap,snap_trap,grass,35,100,15,0,physical,selected-pokemon,generation-viii,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",Prevents the target from fleeing and inflicts damage for 2-5 turns.,https://pokeapi.co/api/v2/move/779/
