id,name,slug,generation,habitat,shape,color,capture_rate,base_happiness,gender_rate,is_baby,is_legendary,is_mythical,flavor_text_en,sourceUrl
252,treecko,treecko,generation-iii,forest,upright,green,45,70,1,False,False,False,TREECKO has small hooks on the bottom of its feet that enable it to scale vertical walls.This POKéMON attacks by slamming foes with its thick tail.,https://pokeapi.co/api/v2/pokemon-species/252
253,grovyle,grovyle,generation-iii,forest,upright,green,45,70,1,False,False,False,The leaves growing out of GROVYLE’s body are convenient for camouflaging it from enemies in the forest.This POKéMON is a master at climbing trees in jungles.,https://pokeapi.co/api/v2/pokemon-species/253
254,sceptile,sceptile,generation-iii,forest,upright,green,45,70,1,False,False,False,The leaves growing on SCEPTILE’s body are very sharp edged. This POKéMON is very agile - it leaps all over thebranches of trees and jumps on its foe from above or behind.,https://pokeapi.co/api/v2/pokemon-species/254
255,torchic,torchic,generation-iii,grassland,legs,red,45,70,1,False,False,False,"TORCHIC sticks with its TRAINER, following behind with unsteady steps.This POKéMON breathes fire of over 1,800 degrees F, including fireballs that leave the foe scorched black.",https://pokeapi.co/api/v2/pokemon-species/255
256,combusken,combusken,generation-iii,grassland,upright,red,45,70,1,False,False,False,"COMBUSKEN toughens up its legs and thighs by running through fields and mountains.This POKéMON’s legs possess both speed and power, enabling it to dole out ten kicks in one second.",https://pokeapi.co/api/v2/pokemon-species/256
257,blaziken,blaziken,generation-iii,grassland,upright,red,45,70,1,False,False,False,"In battle, BLAZIKEN blows out intense flames from its wrists and attacks foes courageously.The stronger the foe, the more intensely this POKéMON’s wrists burn.",https://pokeapi.co/api/v2/pokemon-species/257
258,mudkip,mudkip,generation-iii,waters-edge,quadruped,blue,45,70,1,False,False,False,"The fin on MUDKIP’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, thisPOKéMON can determine what is taking place around it without using its eyes.",https://pokeapi.co/api/v2/pokemon-species/258
259,marshtomp,marshtomp,generation-iii,waters-edge,upright,blue,45,70,1,False,False,False,"The surface of MARSHTOMP’s body is enveloped by a thin, sticky film that enables it to live on land.This POKéMON plays in mud on beaches when the ocean tide is low.",https://pokeapi.co/api/v2/pokemon-species/259
260,swampert,swampert,generation-iii,waters-edge,upright,blue,45,70,1,False,False,False,SWAMPERT is very strong. It has enough power to easily drag a boulder weighing more than a ton.This POKéMON also has powerful vision that lets it see even in murky water.,https://pokeapi.co/api/v2/pokemon-species/260
261,poochyena,poochyena,generation-iii,grassland,quadruped,gray,255,70,4,False,False,False,"At first sight, POOCHYENA takes a bite at anything that moves. This POKéMON chases after prey untilthe victim becomes exhausted. However, it may turn tail if the prey strikes back.",https://pokeapi.co/api/v2/pokemon-species/261
262,mightyena,mightyena,generation-iii,grassland,quadruped,gray,127,70,4,False,False,False,MIGHTYENA gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body.This POKéMON will bite savagely with its sharply pointed fangs.,https://pokeapi.co/api/v2/pokemon-species/262
263,zigzagoon,zigzagoon,generation-iii,grassland,quadruped,brown,255,70,4,False,False,False,ZIGZAGOON restlessly wanders everywhere at all times. This POKéMON does so because it is very curious.It becomes interested in anything that it happens to see.,https://pokeapi.co/api/v2/pokemon-species/263
264,linoone,linoone,generation-iii,grassland,quadruped,white,90,70,4,False,False,False,"LINOONE always runs full speed and only in straight lines. If facing an obstacle, it makes a right-angle turn to evade it.This POKéMON is very challenged by gently curving roads.",https://pokeapi.co/api/v2/pokemon-species/264
265,wurmple,wurmple,generation-iii,forest,armor,red,255,70,4,False,False,False,"Using the spikes on its rear end,   WURMPLE peels the bark off trees and feeds on the sap that oozes out.This POKéMON’s feet are tipped with suction pads that allow it to cling to glass without slipping.",https://pokeapi.co/api/v2/pokemon-species/265
266,silcoon,silcoon,generation-iii,forest,ball,white,120,70,4,False,False,False,"SILCOON tethers itself to a tree branch using silk to keep from falling. There,  this POKéMON hangs quietly while itawaits evolution. It peers out of the silk cocoon through a small hole.",https://pokeapi.co/api/v2/pokemon-species/266
267,beautifly,beautifly,generation-iii,forest,bug-wings,yellow,45,70,4,False,False,False,"BEAUTIFLY’s favorite food is the sweet pollen of flowers. If you want to see this POKéMON, just leave a pottedflower by an open window. BEAUTIFLY is sure to come looking for pollen.",https://pokeapi.co/api/v2/pokemon-species/267
268,cascoon,cascoon,generation-iii,forest,ball,purple,120,70,4,False,False,False,"CASCOON makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silkgoes around its body, it hardens. This POKéMON prepares for its evolution inside the cocoon.",https://pokeapi.co/api/v2/pokemon-species/268
269,dustox,dustox,generation-iii,forest,bug-wings,green,45,70,4,False,False,False,"DUSTOX is instinctively drawn to light. Swarms of this POKéMON are attracted by the bright lights of cities, wherethey wreak havoc by stripping the leaves off roadside trees for food.",https://pokeapi.co/api/v2/pokemon-species/269
270,lotad,lotad,generation-iii,waters-edge,armor,green,255,70,4,False,False,False,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts.",https://pokeapi.co/api/v2/pokemon-species/270
271,lombre,lombre,generation-iii,waters-edge,humanoid,green,120,70,4,False,False,False,It lives at the water’s edge where it is sunny. It sleeps on a bed of water grass by day and becomes active at night.,https://pokeapi.co/api/v2/pokemon-species/271
272,ludicolo,ludicolo,generation-iii,waters-edge,humanoid,green,45,70,4,False,False,False,"LUDICOLO begins dancing as soon as it hears cheerful, festive music. This POKéMON is said to appear when ithears the singing of children on hiking outings.",https://pokeapi.co/api/v2/pokemon-species/272
273,seedot,seedot,generation-iii,forest,legs,brown,255,70,4,False,False,False,"SEEDOT attaches itself to a tree branch using the top of its head. It sucks moisture from the tree whilehanging off the branch. The more water it drinks, the glossier this POKéMON’s body becomes.",https://pokeapi.co/api/v2/pokemon-species/273
274,nuzleaf,nuzleaf,generation-iii,forest,humanoid,brown,120,70,4,False,False,False,NUZLEAF live in densely overgrown forests. They occasionally venture out of the forest to startle people.This POKéMON dislikes having its long nose pinched.,https://pokeapi.co/api/v2/pokemon-species/274
275,shiftry,shiftry,generation-iii,forest,humanoid,brown,45,70,4,False,False,False,It lives quietly in the deep forest. It is said to create chilly winter winds with the fans it holds.,https://pokeapi.co/api/v2/pokemon-species/275
276,taillow,taillow,generation-iii,grassland,wings,blue,200,70,4,False,False,False,"TAILLOW courageously stands its ground against foes, however strong they may be.This gutsy POKéMON will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry.",https://pokeapi.co/api/v2/pokemon-species/276
