id,name,slug,generation,habitat,shape,color,capture_rate,base_happiness,gender_rate,is_baby,is_legendary,is_mythical,flavor_text_en,sourceUrl
387,turtwig,turtwig,generation-iv,,quadruped,green,45,70,1,False,False,False,"Made from soil, the shell on its back hardens when it drinks water. It lives along lakes.",https://pokeapi.co/api/v2/pokemon-species/387
388,grotle,grotle,generation-iv,,quadruped,green,45,70,1,False,False,False,It knows where pure water wells up. It carries fellow Pokémon there on its back.,https://pokeapi.co/api/v2/pokemon-species/388
389,torterra,torterra,generation-iv,,quadruped,green,45,70,1,False,False,False,Small Pokémon occasionally gather on its unmoving back to begin building their nests.,https://pokeapi.co/api/v2/pokemon-species/389
390,chimchar,chimchar,generation-iv,,upright,brown,45,70,1,False,False,False,It agilely scales sheer cliffs to live atop craggy mountains. Its fire is put out when it sleeps.,https://pokeapi.co/api/v2/pokemon-species/390
391,monferno,monferno,generation-iv,,upright,brown,45,70,1,False,False,False,"To intimidate attackers, it stretches the fire on its tail to make itself appear bigger.",https://pokeapi.co/api/v2/pokemon-species/391
392,infernape,infernape,generation-iv,,upright,brown,45,70,1,False,False,False,It uses a special kind of martial arts involving all its limbs. Its fire never goes out.,https://pokeapi.co/api/v2/pokemon-species/392
393,piplup,piplup,generation-iv,,humanoid,blue,45,70,1,False,False,False,"Because it is very proud, it hates accepting food from people. Its thick down guards it from cold.",https://pokeapi.co/api/v2/pokemon-species/393
394,prinplup,prinplup,generation-iv,,upright,blue,45,70,1,False,False,False,"It lives alone, away from others. Apparently, every one of them believes it is the most important.",https://pokeapi.co/api/v2/pokemon-species/394
395,empoleon,empoleon,generation-iv,,upright,blue,45,70,1,False,False,False,The three horns that extend from its beak attest to its power. The leader has the biggest horns.,https://pokeapi.co/api/v2/pokemon-species/395
396,starly,starly,generation-iv,,wings,brown,255,70,4,False,False,False,"They flock in great numbers. Though small, they flap their wings with great power.",https://pokeapi.co/api/v2/pokemon-species/396
397,staravia,staravia,generation-iv,,wings,brown,120,70,4,False,False,False,It flies around forests and fields in search of bug Pokémon. It stays within a huge flock.,https://pokeapi.co/api/v2/pokemon-species/397
398,staraptor,staraptor,generation-iv,,wings,brown,45,70,4,False,False,False,It has a savage nature. It will courageously challenge foes that are much larger.,https://pokeapi.co/api/v2/pokemon-species/398
399,bidoof,bidoof,generation-iv,,quadruped,brown,255,70,4,False,False,False,"With nerves of steel, nothing can perturb it. It is more agile and active than it appears.",https://pokeapi.co/api/v2/pokemon-species/399
400,bibarel,bibarel,generation-iv,,upright,brown,127,70,4,False,False,False,It makes its nest by damming streams with bark and mud. It is known as an industrious worker.,https://pokeapi.co/api/v2/pokemon-species/400
401,kricketot,kricketot,generation-iv,,humanoid,red,255,70,4,False,False,False,"It shakes its head back to front, causing its antennae to hit each other and sound like a xylophone.",https://pokeapi.co/api/v2/pokemon-species/401
402,kricketune,kricketune,generation-iv,,bug-wings,red,45,70,4,False,False,False,It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.,https://pokeapi.co/api/v2/pokemon-species/402
403,shinx,shinx,generation-iv,,quadruped,blue,235,70,4,False,False,False,All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.,https://pokeapi.co/api/v2/pokemon-species/403
404,luxio,luxio,generation-iv,,quadruped,blue,120,100,4,False,False,False,Its claws loose electricity with enough amperage to cause fainting. They live in small groups.,https://pokeapi.co/api/v2/pokemon-species/404
405,luxray,luxray,generation-iv,,quadruped,blue,45,70,4,False,False,False,It has eyes that can see through anything. It spots and captures prey hiding behind objects.,https://pokeapi.co/api/v2/pokemon-species/405
406,budew,budew,generation-iv,,humanoid,green,255,70,4,True,False,False,"Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen.",https://pokeapi.co/api/v2/pokemon-species/406
407,roserade,roserade,generation-iv,,humanoid,green,75,70,4,False,False,False,"It attracts prey with a sweet aroma, then downs it with thorny whips hidden in its arms.",https://pokeapi.co/api/v2/pokemon-species/407
408,cranidos,cranidos,generation-iv,,upright,blue,45,70,1,False,False,False,It lived in jungles around 100 million years ago. Its skull is as hard as iron.,https://pokeapi.co/api/v2/pokemon-species/408
409,rampardos,rampardos,generation-iv,,upright,blue,45,70,1,False,False,False,Its powerful head butt has enough power to shatter even the most durable things upon impact.,https://pokeapi.co/api/v2/pokemon-species/409
410,shieldon,shieldon,generation-iv,,quadruped,gray,45,70,1,False,False,False,A Pokémon that lived in jungles around 100 million years ago. Its facial hide is extremely hard.,https://pokeapi.co/api/v2/pokemon-species/410
411,bastiodon,bastiodon,generation-iv,,quadruped,gray,45,70,1,False,False,False,Any frontal attack is repulsed. It is a docile Pokémon that feeds on grass and berries.,https://pokeapi.co/api/v2/pokemon-species/411
412,burmy,burmy,generation-iv,,blob,green,120,70,4,False,False,False,"To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves.",https://pokeapi.co/api/v2/pokemon-species/412
413,wormadam,wormadam,generation-iv,,blob,green,45,70,8,False,False,False,"When BURMY evolved, its cloak became a part of this Pokémon’s body. The cloak is never shed.",https://pokeapi.co/api/v2/pokemon-species/413
414,mothim,mothim,generation-iv,,bug-wings,yellow,45,70,0,False,False,False,It loves the honey of flowers and steals honey collected by COMBEE.,https://pokeapi.co/api/v2/pokemon-species/414
415,combee,combee,generation-iv,,heads,yellow,120,70,1,False,False,False,A Pokémon formed by three others. It busily carries sweet floral honey to VESPIQUEN.,https://pokeapi.co/api/v2/pokemon-species/415
416,vespiquen,vespiquen,generation-iv,,bug-wings,yellow,45,70,8,False,False,False,Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by COMBEE.,https://pokeapi.co/api/v2/pokemon-species/416
417,pachirisu,pachirisu,generation-iv,,quadruped,white,200,100,4,False,False,False,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.,https://pokeapi.co/api/v2/pokemon-species/417
418,buizel,buizel,generation-iv,,quadruped,brown,190,70,4,False,False,False,It has a flotation sac that is like an inflatable collar. It floats on water with its head out.,https://pokeapi.co/api/v2/pokemon-species/418
419,floatzel,floatzel,generation-iv,,quadruped,brown,75,70,4,False,False,False,It floats using its well-developed flotation sac. It assists in the rescues of drowning people.,https://pokeapi.co/api/v2/pokemon-species/419
420,cherubi,cherubi,generation-iv,,heads,pink,190,70,4,False,False,False,"The small ball holds the nutrients needed for evolution. Apparently, it is very sweet and tasty.",https://pokeapi.co/api/v2/pokemon-species/420
421,cherrim,cherrim,generation-iv,,legs,purple,75,70,4,False,False,False,It blooms during times of strong sunlight. It tries to make up for everything it endured as a bud.,https://pokeapi.co/api/v2/pokemon-species/421
422,shellos,shellos,generation-iv,,squiggle,purple,190,70,4,False,False,False,"Its colors and shapes differ from region to region. In the Sinnoh region, two types are confirmed.",https://pokeapi.co/api/v2/pokemon-species/422
423,gastrodon,gastrodon,generation-iv,,squiggle,purple,75,70,4,False,False,False,"It has a pliable body without any bones. If any part of its body is torn off, it grows right back.",https://pokeapi.co/api/v2/pokemon-species/423
424,ambipom,ambipom,generation-iv,,upright,purple,45,100,4,False,False,False,"To eat, it deftly shucks nuts with its two tails. It rarely uses its arms now.",https://pokeapi.co/api/v2/pokemon-species/424
425,drifloon,drifloon,generation-iv,,arms,purple,125,70,4,False,False,False,"A Pokémon formed by the spirits of people and Pokémon. It loves damp, humid seasons.",https://pokeapi.co/api/v2/pokemon-species/425
426,drifblim,drifblim,generation-iv,,arms,purple,60,70,4,False,False,False,"At dusk, swarms of them are carried aloft on winds. When noticed, they suddenly vanish.",https://pokeapi.co/api/v2/pokemon-species/426
427,buneary,buneary,generation-iv,,upright,brown,190,0,4,False,False,False,It slams foes by sharply uncoiling its rolled ears. It stings enough to make a grown-up cry in pain.,https://pokeapi.co/api/v2/pokemon-species/427
428,lopunny,lopunny,generation-iv,,upright,brown,60,140,4,False,False,False,An extremely cautious Pokémon. It cloaks its body with its fluffy ear fur when it senses danger.,https://pokeapi.co/api/v2/pokemon-species/428
429,mismagius,mismagius,generation-iv,,ball,purple,45,35,4,False,False,False,Its cries sound like incantations. Those hearing it are tormented by headaches and hallucinations.,https://pokeapi.co/api/v2/pokemon-species/429
430,honchkrow,honchkrow,generation-iv,,wings,black,30,35,4,False,False,False,"Becoming active at night, it is known to swarm with numerous MURKROW in tow.",https://pokeapi.co/api/v2/pokemon-species/430
431,glameow,glameow,generation-iv,,quadruped,gray,190,70,6,False,False,False,It claws if displeased and purrs when affectionate. Its fickleness is very popular among some.,https://pokeapi.co/api/v2/pokemon-species/431
432,purugly,purugly,generation-iv,,quadruped,gray,75,70,6,False,False,False,It is a brazen brute that barges its way into another Pokémon’s nest and claims it as its own.,https://pokeapi.co/api/v2/pokemon-species/432
433,chingling,chingling,generation-iv,,humanoid,yellow,120,70,4,True,False,False,It emits cries by agitating an orb at the back of its throat. It moves with flouncing hops.,https://pokeapi.co/api/v2/pokemon-species/433
434,stunky,stunky,generation-iv,,quadruped,purple,225,70,4,False,False,False,It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours.,https://pokeapi.co/api/v2/pokemon-species/434
435,skuntank,skuntank,generation-iv,,quadruped,purple,60,70,4,False,False,False,It sprays a vile-smelling fluid from the tip of its tail to attack. Its range is over 160 feet.,https://pokeapi.co/api/v2/pokemon-species/435
436,bronzor,bronzor,generation-iv,,ball,green,255,70,-1,False,False,False,Implements shaped like it were discovered in ancient tombs. It is unknown if they are related.,https://pokeapi.co/api/v2/pokemon-species/436
437,bronzong,bronzong,generation-iv,,arms,green,90,70,-1,False,False,False,"One caused a news sensation when it was dug up at a construction site after a 2,000-year sleep.",https://pokeapi.co/api/v2/pokemon-species/437
438,bonsly,bonsly,generation-iv,,legs,brown,255,70,4,True,False,False,It looks as if it is always crying. It is actually adjusting its body’s fluid levels by eliminating excess.,https://pokeapi.co/api/v2/pokemon-species/438
439,mime-jr,mime_jr,generation-iv,,humanoid,pink,145,70,4,True,False,False,"It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokémon.",https://pokeapi.co/api/v2/pokemon-species/439
440,happiny,happiny,generation-iv,,humanoid,pink,130,140,8,True,False,False,It loves round white things. It carries an egg-shaped rock in imitation of CHANSEY.,https://pokeapi.co/api/v2/pokemon-species/440
441,chatot,chatot,generation-iv,,wings,black,30,35,4,False,False,False,"It can learn and speak human words. If they gather, they all learn the same saying.",https://pokeapi.co/api/v2/pokemon-species/441
442,spiritomb,spiritomb,generation-iv,,blob,purple,100,70,4,False,False,False,A Pokémon that was formed by 108 spirits. It is bound to a fissure in an odd keystone.,https://pokeapi.co/api/v2/pokemon-species/442
443,gible,gible,generation-iv,,upright,blue,45,70,4,False,False,False,"It nests in small, horizontal holes in cave walls. It pounces to catch prey that stray too close.",https://pokeapi.co/api/v2/pokemon-species/443
444,gabite,gabite,generation-iv,,upright,blue,45,70,4,False,False,False,There is a long-held belief that medicine made from its scales will heal even incurable illnesses.,https://pokeapi.co/api/v2/pokemon-species/444
445,garchomp,garchomp,generation-iv,,upright,blue,45,70,4,False,False,False,"When it folds up its body and extends its wings, it looks like a jet plane. It flies at sonic speed.",https://pokeapi.co/api/v2/pokemon-species/445
446,munchlax,munchlax,generation-iv,,humanoid,black,50,70,1,True,False,False,"It wolfs down its weight in food once a day, swallowing food whole with almost no chewing.",https://pokeapi.co/api/v2/pokemon-species/446
447,riolu,riolu,generation-iv,,upright,blue,75,70,1,True,False,False,The aura that emanates from its body intensifies to alert others if it is afraid or sad.,https://pokeapi.co/api/v2/pokemon-species/447
448,lucario,lucario,generation-iv,,upright,blue,45,70,1,False,False,False,It has the ability to sense the auras of all things. It understands human speech.,https://pokeapi.co/api/v2/pokemon-species/448
449,hippopotas,hippopotas,generation-iv,,quadruped,brown,140,70,4,False,False,False,"It lives in arid places. Instead of perspiration, it expels grainy sand from its body.",https://pokeapi.co/api/v2/pokemon-species/449
450,hippowdon,hippowdon,generation-iv,,quadruped,brown,60,70,4,False,False,False,It blasts internally stored sand from ports on its body to create a towering twister for attack.,https://pokeapi.co/api/v2/pokemon-species/450
451,skorupi,skorupi,generation-iv,,armor,purple,120,70,4,False,False,False,It grips prey with its tail claws and injects poison. It tenaciously hangs on until the poison takes.,https://pokeapi.co/api/v2/pokemon-species/451
452,drapion,drapion,generation-iv,,armor,purple,45,70,4,False,False,False,It has the power in its clawed arms to make scrap of a car. The tips of its claws release poison.,https://pokeapi.co/api/v2/pokemon-species/452
453,croagunk,croagunk,generation-iv,,humanoid,blue,140,100,4,False,False,False,Its cheeks hold poison sacs. It tries to catch foes off guard to jab them with toxic fingers.,https://pokeapi.co/api/v2/pokemon-species/453
454,toxicroak,toxicroak,generation-iv,,humanoid,blue,75,70,4,False,False,False,Its knuckle claws secrete a toxin so vile that even a scratch could prove fatal.,https://pokeapi.co/api/v2/pokemon-species/454
455,carnivine,carnivine,generation-iv,,tentacles,green,200,70,4,False,False,False,"It attracts prey with its sweet- smelling saliva, then chomps down. It takes a whole day to eat prey.",https://pokeapi.co/api/v2/pokemon-species/455
456,finneon,finneon,generation-iv,,fish,blue,190,70,4,False,False,False,"After long exposure to sunlight, the patterns on its tail fins shine vividly when darkness arrives.",https://pokeapi.co/api/v2/pokemon-species/456
